pagePath,deviceCategory,pageReferrer,searchTerm,country,city,totalUsers,sessions,averageSessionDuration,userEngagementDuration,bounceRate,date,hour,countryIsoCode
/blog/vimwiki-hugo,mobile,,,United States,Austin,1,1,0,0,1,20260320,6,US
/,desktop,,,United States,Council Bluffs,1,1,0,3,1,20260320,8,US
/,mobile,,,United States,New York,1,1,0,3,1,20260320,11,US
/blog/image-rotation-opencv,desktop,https://medium.com/@coding-otter/image-and-bounding-box-rotation-using-opencv-python-2def6c39453,,France,Courbevoie,1,1,0,3,1,20260320,16,FR
/blog/mopidy-muse,desktop,https://mopidy.com/,,India,Kurukshetra,1,1,0,3,1,20260320,16,IN
/blog/motion-monitor-opencv,mobile,android-app://com.google.android.googlequicksearchbox/,,India,Chennai,1,1,0,3,1,20260320,16,IN
/blog/gnuplot-electrode,desktop,https://www.google.com/,,Colombia,Piedecuesta,1,1,0,3,1,20260321,6,CO
/blog/traefik-goaccess,desktop,,,United States,The Dalles,1,1,0,0,1,20260321,11,US
/,desktop,,,United States,Cloverdale,1,1,0,3,1,20260322,23,US
/blog/magic-wand,desktop,,,South Korea,Gwangju,1,1,0,0,1,20260323,4,
/blog/magic-wand,desktop,https://www.google.com/,,South Korea,Gwangju,1,1,0,0,1,20260323,4,
/blog/monitoring-grafana,desktop,https://www.google.com/,,India,Delhi,1,1,0,3,1,20260323,11,IN
/blog/image-rotation-opencv,desktop,https://www.google.com/,,France,Courbevoie,1,1,0,3,1,20260323,18,FR
/,desktop,,,United States,Council Bluffs,1,1,0,0,1,20260323,19,US
/,desktop,https://bing.com/,,United States,Aspen,1,1,0,3,1,20260323,19,US
/blog/gnuplot-electrode,desktop,,,United States,Lowell,1,1,0,0,1,20260323,19,US
/,desktop,,,Sweden,Stockholm,1,1,0,15,1,20260324,0,SE
/,desktop,,,United States,(not set),1,1,0,0,1,20260324,8,US
/blog/monitoring-grafana,desktop,https://www.google.com/,,Singapore,Singapore,1,1,0,3,0,20260324,9,SG
/blog/traefik-goaccess,desktop,https://cristianpb.github.io/blog/monitoring-grafana,,Singapore,Singapore,1,1,41.707172,1,0,20260324,9,SG
/blog/document-detection,desktop,https://www.google.com/,,Spain,Barcelona,1,1,36.257933,0,0,20260324,14,ES
/blog/data-withings,desktop,https://www.google.com/,,United States,New York,1,1,0,0,1,20260324,15,US
/blog/gnuplot-electrode,desktop,https://www.google.com/,,France,Vandoeuvre-les-Nancy,1,1,0,0,1,20260324,17,FR
/blog/document-detection,desktop,https://www.google.com/,,Brazil,Sao Paulo,1,1,0,3,1,20260324,20,BR
/,desktop,,,United States,Council Bluffs,1,1,0,0,1,20260325,1,US
/blog/image-rotation-opencv,desktop,,,United States,Houston,1,1,0,3,1,20260325,1,US
/blog/dashboard-dc-js,desktop,https://www.google.com/,,India,Hyderabad,1,1,0,3,1,20260325,6,IN
/blog/image-rotation-opencv,desktop,https://www.google.com/,,Czechia,Prague,1,1,0,0,1,20260325,9,
/blog/grafana-dashboard,desktop,https://www.google.com/,,United States,Arlington,1,1,0,0,1,20260325,14,US
/blog/arduino-mkr-fox,desktop,,,Denmark,Copenhagen,1,1,0,0,1,20260325,16,DK
/blog/data-withings,desktop,https://www.google.com/,,United States,New York,1,1,0,0,1,20260325,16,US
/blog/grafana-dashboard,desktop,,,Canada,Alexandria,1,1,84.058747,0,0,20260325,17,CA
/blog/monitoring-grafana,desktop,,,Canada,Alexandria,1,1,0,0,0,20260325,17,CA
/,desktop,,,United States,Aspen,1,1,0,12,1,20260325,18,US
/blog/data-withings,desktop,https://www.google.com/,,United States,New York,1,1,0,0,1,20260325,21,US
/,mobile,,,United States,New York,1,1,0,3,1,20260326,1,US
/blog/data-withings,desktop,https://www.google.com/,,Switzerland,Buchs,1,1,0,3,1,20260326,7,CH
/blog/data-withings,desktop,,,Switzerland,Buchs,1,1,0,0,0,20260326,8,CH
/blog/withings-data,desktop,https://cristianpb.github.io/blog/data-withings,,Switzerland,Buchs,1,1,16.858847,0,0,20260326,8,CH
/,desktop,,,United States,Council Bluffs,1,1,0,0,1,20260326,10,US
/blog/ssd-yolo,mobile,https://www.google.com/,,Germany,Mannheim,1,1,47.582499,3,0,20260326,22,DE
/blog/velib-folium,desktop,https://www.google.com/,,United States,Atlanta,1,1,23.533568,0,0,20260326,22,US
/blog/data-withings,desktop,https://www.google.com/,,United States,New York,1,1,0,0,1,20260327,13,US
/blog/image-rotation-opencv,desktop,https://www.google.com/,,Sweden,Malmo,1,1,0,3,1,20260327,16,SE
/,desktop,,,United States,Cape Coral,1,1,0,3,1,20260327,17,US
/,desktop,,,United States,Council Bluffs,1,1,0,0,1,20260327,17,US
